what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296198314429
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296198337330
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198344664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198348253
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198349271
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296198354073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198355740
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198369459
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198369543
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198369618
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296198380458
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198382991
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198408176
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198439794
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296198443817
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198445288
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198449488
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198449575
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198449647
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296198500576
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198502002
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296198520004
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198525385
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198526844
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296198611749
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198618577
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198622695
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296198627164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198629091
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198680723
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198680805
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296198680884
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198781812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198954238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296198994941
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296198998841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296199002060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296199030150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296199033408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296199051201
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296199053198
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296199062008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296199064288
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296199091434
